"ID","Hotel_Name","Location","Review"
"rn565797019","Istanbul Turkish Restaurant","Kata Beach","This is a must when coming to Phuket Just up the hill from Kata Great food from the complimentary bread which is baked fresh for you to the many Turkish dishes available Service was great too 10 outa 10More"
"rn565749249","Istanbul Turkish Restaurant","Kata Beach","knowing all our food is hand made inc our cream bread butter makes me feek more comftable love love love this place had breakfast here every single day food is made with love shop owner also sells hand made turkish suvernirs "
"rn565386979","Istanbul Turkish Restaurant","Kata Beach","I’ve visited this place with my friends I can definitely recommend it The food is very delicious very nice atmosphere and perfect service I felt like I’m back to Turkey Thank you very much for taking care about your customers I’d come back again and More"
"rn565109363","Istanbul Turkish Restaurant","Kata Beach","I can only recommend to anybody who stay in Phuket - I visited that place over 10 times in 3 years Everything was every time finest"
"rn564195195","Istanbul Turkish Restaurant","Kata Beach","We had a best night Turkish food restaurant has always been my favourite especially after a few visits to Turkey and the Middle East The middle range good restaurant very tasty The chicken shish and some nana and seasoned was good enough The best part More"
"rn563455094","Istanbul Turkish Restaurant","Kata Beach","Super friendly warm reception with fantastic food Huge very filling breakfast Lots of choice for kids Highly recommend a visit More"
"rn563434772","Istanbul Turkish Restaurant","Kata Beach","The Turkish food has always been my favourite especially after a few visits to Turkey and the Middle East I did not find the food in this restaurant very tasty The chicken shish was not seasoned enough for me however the meat was well cooked More"
"rn563315646","Istanbul Turkish Restaurant","Kata Beach","We have been keep coming here many times during our visits to Phuket and you can see the same good standart each and every time As we are also Turkish we do compare the food with our country and honestly it is all same what More"
"rn562227385","Istanbul Turkish Restaurant","Kata Beach","Family run restaurant with authentic Turkish menu I had the beef mince crepes with youghurt as I’ve had this a lot in Turkey- it was okay My partners meal came out completely covered in ants Had to send it back for a new order but More"
"rn562172949","Istanbul Turkish Restaurant","Kata Beach","Went here after fancying something different to Thai food Very nice Turkish food and nice meat staff very friendly "
"rn561383163","Istanbul Turkish Restaurant","Kata Beach","The tourist areas of Phuket/Patong/Karon/Kata have over 2500 restaurants There are very very few worth visiting a second time Most are well below average This is NOT the case with Istanbul Turkish I would return time and time again The owners are on deck with More"
"rn561025572","Istanbul Turkish Restaurant","Kata Beach","We’ve tried the humus cheese rolls ayran and the iskender kebab All was very tasty We recomand and we can’t wait to come black again "
"rn559924006","Istanbul Turkish Restaurant","Kata Beach","This is far best food I tried in Phuket so far All recommendations this is a must visit place in Kata beach Very warm welcome by owners and food to “kill for” 5 star dining very delicious Thank You /Hvala from Serbian visitorsMore"
"rn559513670","Istanbul Turkish Restaurant","Kata Beach","Would recommend trying this restaurant wonderful food Little bit of a walk but worth it Had the platter "
"rn559333549","Istanbul Turkish Restaurant","Kata Beach","We had a greta meal here in Dec we ordered a few different things as there were so many yummy options All were so tasty Owners are lovely Would definitely recommend a stop here More"
"rn559331755","Istanbul Turkish Restaurant","Kata Beach","Dining at the Istanbul cafe is not just about the food (which is amazing) but also the hospitality and warmth with which the family greets you and makes you feel at home the host even gifted my wife a bracelet with the traditional Turkish luck More"
"rn559178938","Istanbul Turkish Restaurant","Kata Beach","What a nice change from all the Thai food Perfectly made AUTHENTIC Turkish food Which basicly is the best kitchen in the world Super friendly staff good prices Just gp eat here More"
"rn559111262","Istanbul Turkish Restaurant","Kata Beach","This is the best food I’ve found in Phuket food well cook perfect and the wait staff always make sure you get what you want More"
"rn558940293","Istanbul Turkish Restaurant","Kata Beach","Very generous portion sizes and freshly baked bread and pide Breakfast was delicious and felt like I was in Turkey Very satisfied "
"rn558009855","Istanbul Turkish Restaurant","Kata Beach","Last night we've had dinner at Istanbul for the 2nd night in a row The food is so good here and the service is perfect Traditional Turkish cuisine prepared to its finest chebureki lamb humus eggplant everything we ordered was delicious and reasonably priced Highly More"
"rn557923162","Istanbul Turkish Restaurant","Kata Beach","Sorry that is not reasonable to mouve to Thailand make 10'000 km and go to eat Kebab ? NO NO AND NO Thai dishes are much better have more flavor and are 100x better than any Kebab Go there and eat a green curry You will More"
"rn557493980","Istanbul Turkish Restaurant","Kata Beach","Grate place for breakfast You feel like you are having breakfast in turkey Grate host and wonderful environment "
"rn555717235","Istanbul Turkish Restaurant","Kata Beach","Me and my boyfriend visited Istanbul for a late lunch around 4pm There was only us and another couple in the restaurant at this time so it was quiet and service was good The food was delicious I had ye bean stew as I am More"
"rn554494098","Istanbul Turkish Restaurant","Kata Beach","Would definitely recommend to come here the food is amazing Reasonable price definitely worth it for the quality and taste :)More"
"rn553809708","Istanbul Turkish Restaurant","Kata Beach","The best breakfast we had in phuket The food was absolutely delicious the staff friendly and helpful and a gracious owner who spent time talking to my mother and I More"
"rn553724573","Istanbul Turkish Restaurant","Kata Beach","We took a drive to go try this place out and I must say it was really worth the visit We got a taste of turkey in Phuket o:) Great service and prices Definitely worth a visit More"
"rn553472168","Istanbul Turkish Restaurant","Kata Beach","The food was very delicious the restaurant has a cozy vibe and The owner was really friendly and nice which added that extra touched of good experience We had a great time Overall :) highly recommendedMore"
"rn552402847","Istanbul Turkish Restaurant","Kata Beach","Ate here on a whim as it was just up from our hotel and we fancied a change from Thai food Very glad that we did We walked in at around 6pm shortly after he had to close his shutters after having sold out of More"
"rn552094615","Istanbul Turkish Restaurant","Kata Beach","Fabulous Turkish meal would highly recommend We had the recommended share plate and it was absolutely delicious "
"rn551398381","Istanbul Turkish Restaurant","Kata Beach","we ate here 3 time in one week the proprieter was lovely the food was SO FRESH and beautiful flavoursMore"
"rn550777521","Istanbul Turkish Restaurant","Kata Beach","It is a must-see and must-eat type of place in Phuket Especially the breakfast is very rich and tasty Local jams worth to try Friendliness is always there no worries Feels like family"
"rn550505958","Istanbul Turkish Restaurant","Kata Beach","Spectacular Restaurant Super warm and caring host/owner/staff and the food is out of this world The meats where cooked to perfections and all the added sauces and dressings where on point Visited while on holiday and had to go back one more time before we More"
"rn550304362","Istanbul Turkish Restaurant","Kata Beach","Visited here on our last night & wished we'd found it sooner The food was extremely good So many choices we opted for the sharer plate for 2 at 640thb it was very good value Lots of different dishes to taste The service was great More"
"rn550085358","Istanbul Turkish Restaurant","Kata Beach","We have not had better food than this in Phuket so far what a meal The restaurant is tucked away in an alley with around seating for 25/30 people at a time we booked earlier in the day for 730 pm and were More"
"rn549888091","Istanbul Turkish Restaurant","Kata Beach","A lovey family friendly restaurant with hearty traditional meals Very reasonably priced and reasonably well located "
"rn549884231","Istanbul Turkish Restaurant","Kata Beach","Went here with 3 friends to eat delicious Turkish food on our Thailand trip All meals were very tasty and the Service was also perfect So good that we will come again after 2 days More"
"rn549674717","Istanbul Turkish Restaurant","Kata Beach","Really enjoyed our food and great service Owner was attentive Turkish pizza was the best Would highly recommendMore"
"rn549404496","Istanbul Turkish Restaurant","Kata Beach","The salads were the best part of the meal but the lamb was tough I’m writing this review as we have been waiting 17 minutes to order dessert The owner sits at the front reading and the two waiters are smoking in the steps No More"
"rn549268102","Istanbul Turkish Restaurant","Kata Beach","Being an Australian I highly recommend this restaurant if you feel like eating a cuisine other than Thai food The owners are genuine and the place is extremely clean The food is extremely authentic and so fresh It is certainly a breath of fresh air More"
"rn549015816","Istanbul Turkish Restaurant","Kata Beach","We have been there with my family All the dishes we ordered were so yummy - even though they have a large menu including kuru fasulye a Turkish classic The couple who runs this place are super friendly They treated us (and everyone in the More"
"rn548050780","Istanbul Turkish Restaurant","Kata Beach","Recently visited the Istanbul based on the excellent trip advisor reviews The food certainly wasn't as good as the reviews suggest The humous and bread was tasty but the main course chicken was average For a top restaurant the chicken didn't have a great taste More"
"rn547534709","Istanbul Turkish Restaurant","Kata Beach","Great hospitality The owners are very friendly and helpful Nice conversations The food was delicious Before getting what you ordered they serve some Turkish bread and tapas as a welcome Perfect opportunity to close your last day at Kata Thank you for the nice time "
"rn546322759","Istanbul Turkish Restaurant","Kata Beach","What a great restaurant Friendly staff Top quality food Relaxed vibe I will definitly be back for more "
"rn545519507","Istanbul Turkish Restaurant","Kata Beach","I very often use TripAdvisor ranking for restaurant recommendations but this time I was quite disappointed Food was average If you have ever been to good Eastern restaurant you will understand that this is nothing near the expected quality Food was ok but no more More"
"rn545201912","Istanbul Turkish Restaurant","Kata Beach","Best Turkish food with a good quality service The owners and staff are lovely the food is tasty and the portion are big compare to the price Definitely deserve to be on the top 3 best restaurant in kata beach (in my opinion) I do More"
"rn544509660","Istanbul Turkish Restaurant","Kata Beach","My boyfriend and I went out of our way to visit this restaurant as we were staying in Karon and we were very glad we did We were greeted by the owner and his sleepy dog curled up at the entrance The owner and his More"
"rn544331662","Istanbul Turkish Restaurant","Kata Beach","In spite of knowing that this is rated a “special” restaurant we decided to take a chance in peak time for a table for two Restaurant full and packed Owner walked us through the restaurant to a serving counter where we sat with all the More"
"rn544054346","Istanbul Turkish Restaurant","Kata Beach","I went to Istanbul mostly based on the great reviews and was really glad I did This was my first time to eat Turkish food but it didn't disappoint Great hummus great bread GREAT chicken Kebab Everything was great "
"rn543371012","Istanbul Turkish Restaurant","Kata Beach","Best Turkish food I had in Thailand Good quality of food especially the meat ( we had the iskender kebap) was delicious Everything is homemade I felt like on Turkey in there Definitely a must visit "
"rn543157357","Istanbul Turkish Restaurant","Kata Beach","As an Everton fan it’s easy for me to say but this restaurant is more impressive than that night in Istanbul It’s slightly off the beaten track but it’s a nice walk away from the main strip which gives you a pleasant insight into how More"
"rn542343432","Istanbul Turkish Restaurant","Kata Beach","The place is small and very busy We were amazed by the quality of the food Friendly owners made sure we were always looked after Quick service"
"rn541722612","Istanbul Turkish Restaurant","Kata Beach","This was our first introduction to Turkish food and it did not disappoint Everything was amazing and the flavors were bright fresh and new in many ways Service was also great can't say enough good things about this place More"
"rn541710406","Istanbul Turkish Restaurant","Kata Beach","I’m Turkish Born but lived all my life outside my country Traveled a more then 20 countries in Asia and Europe Everywhere I went I had Turkish dinner at least once I never had such a good Turkish meal in Asia The food was amazing More"
"rn540125278","Istanbul Turkish Restaurant","Kata Beach","The day that i wasn't feel hungry in phuket was the day that i had eat in this restaurant It was all perfect "
"rn538444366","Istanbul Turkish Restaurant","Kata Beach","amazing amazing amazing food fresh pides fresh olive breads and everyfood which were to die for the homemade jans and soreads were superb the stuffed soinach bread was great add to that the handicrafts which r handmade by the lady herself "
"rn536834894","Istanbul Turkish Restaurant","Kata Beach","I’ve been there today and the last 2days the food and service were grate and we enjoyed every single bite and the good hospitality <U+2764><U+FE0F>More"
"rn535889810","Istanbul Turkish Restaurant","Kata Beach","I've been here today for lunch following the great reviews on tripadvisor The restaurant is informal and well decorated in one wall there are very beautiful handmade bracelet and necklace for sell Service staff was very attentive and polite and also the owner was coming More"
"rn534993678","Istanbul Turkish Restaurant","Kata Beach","My suggestion try the liver was worth every Baht Humus was ok but the service made up for it "
"rn534665347","Istanbul Turkish Restaurant","Kata Beach","The food was really good for the money that we payed for it we had diner here with 3 people in total The service is excellent and food is very tasty The chicken Sis is awesome P S the owner has a nice story written in More"
"rn532798686","Istanbul Turkish Restaurant","Kata Beach","Not sure what all the fuss is about Neither I nor my fiancee liked our food Mine was heavy on yogurt and light on flavor My fiancee's was OK but also lacking in flavor Would not return I will say however that the bread was More"
"rn531973971","Istanbul Turkish Restaurant","Kata Beach","Never would have found this place without TripAdvisor and all the very positive reviews The reviews are totally justified This was one of our families favourite eat outs while in Phuket The food was truly delicious and prepared super fast The service was excellent with More"
"rn529466160","Istanbul Turkish Restaurant","Kata Beach","Great food we had the most amazing meal here the owner and his wife were so hospitable We will definitely be back More"
"rn529373937","Istanbul Turkish Restaurant","Kata Beach","Thank god for Tripadvisor Without it we wouldn't never find this little piece of heaven So good that I had to write this review when we are still eating :)More"
"rn529373445","Istanbul Turkish Restaurant","Kata Beach","The headline says it all The place is little bit side of karon but the taste covers it all If you like turkish food then you’re gonna love the food in here More"
"rn529312195","Istanbul Turkish Restaurant","Kata Beach","A very nice selection of different Turkish dishes (and Thai) Fresh breads and many small side dishes (free and beware they will fill you) Food was prompt and hot and filling Run by a very nice family it was all in all a fun evening More"
"rn529046799","Istanbul Turkish Restaurant","Kata Beach","A small gem in a quiet street The owners are a delight from the moment you walk in Husband and wife combo made us feel at home The food is amazing and cooked to perfection Just about all the other customers were return customers The More"
"rn528878603","Istanbul Turkish Restaurant","Kata Beach","We read the reviews on Tripadvisor and this looked to be the business #1 Restaurant in Kata and #3 in all of Phuket - that has to be saying something :-) We were greeted seated and within 2 minutes had our drinks at the table More"
"rn527801118","Istanbul Turkish Restaurant","Kata Beach","We enjoyed the Istanbul plate for two lamb shank baklava and chocolate soufflé Everything was delicious and I thought great value for money too (from Australia) The owner and his wife I believe were making sure everyone was looked after and by 7pm the place More"
"rn526427877","Istanbul Turkish Restaurant","Kata Beach","I love this small cozy restaurant The owner is so nice and the food is very good I recommend you to try the Turkish breakfast it's very good "
"rn525870172","Istanbul Turkish Restaurant","Kata Beach","Almost everything they cook is delicious home made fresh bread as well Very courteous and welcome home feeling whenever you visit them "
"rn521658053","Istanbul Turkish Restaurant","Kata Beach","I describe this restaurant as a deliciously clean smile face Thailand has the biggest problem cleaning but this restaurant solve that problem Restaurant and food is clean and delicious Owner is very friendly"
"rn521352905","Istanbul Turkish Restaurant","Kata Beach","Verry good quality for food everything is home made and you feel that when you eat Service personal so friendly and i felt very comfortable when i was there I will recomend this place to everyone visiting or living in phuket this restaurant lacation is More"
"rn516654064","Istanbul Turkish Restaurant","Kata Beach","We've been wanting to try this spot since we came to Phuket and finally did They start you off with complementary bread and some carrots The bread was insane served warm and toasty So delicious We had the iskembe soup lahmacun tekirdag kofte and More"
"rn515805428","Istanbul Turkish Restaurant","Kata Beach","Really it's a must visit restaurant home made food fresh delicious the number one food breakfast and dinner although I stay in patong I drive all the way to have the food their because it worth very reasonable prices for this good food the cheese More"
"rn514004412","Istanbul Turkish Restaurant","Kata Beach","The vood was very good Served very quick The atmosphere is nice The turkish pizza was tasty and the sauce very deliscous"
"rn512210035","Istanbul Turkish Restaurant","Kata Beach","The food was great we went because of the reviews on trip advisor One person was a vegetarian had enough delicious options The owners where so friendly and helpfull Worth a visit "
"rn512090879","Istanbul Turkish Restaurant","Kata Beach","We are dinner and breakfast here and both were excellent We particularly loved the Turkish breakfast which was huge and such a lovely way to start the day Great service and wonderful food both times Also the Turkish bread is amazing "
"rn511150134","Istanbul Turkish Restaurant","Kata Beach","My husband I had dinner here The food was delicious and the service friendly and prompt We ordered a platter for two for 580 baht which was a very generous serve of dips kebabs salad and pide When we sat down we were presented with More"
"rn510972689","Istanbul Turkish Restaurant","Kata Beach","What a fun hidden gem in this town The food was hot authentic and absolutely DELICIOUS Highly recommended to those wanting some fresh kabob salad and something new "
"rn510811127","Istanbul Turkish Restaurant","Kata Beach","We went there to have a break from the thai food and we didn't regret The restauran is a bit far from the main streets so be prepared to walk or just take a tuk tuk They had some vegan options which is definitely a More"
"rn510624816","Istanbul Turkish Restaurant","Kata Beach","Man what a place nice decor warm friendly amospher The Food is like no other and it's BYO Reasonable prices and portion are huge and they Aim to please So get your taste buds ready for a new experience Be sure to go there Hungry More"
"rn509596195","Istanbul Turkish Restaurant","Kata Beach","The food here is great and different than other Turkish restaurants in the island And the price was very cheap The owner is a very friendly Turkish couple "
"rn509002392","Istanbul Turkish Restaurant","Kata Beach","Beautiful small & cozy hotel if someone can't handle the asian food this is the place to go we had their Istanbul meal for 2 Delicious food & good portions a little expensive though All in all a nice place to try "
"rn508932767","Istanbul Turkish Restaurant","Kata Beach","My husband and I found the restaurant while we were riding our bike looked nice clean and we really wanted good tasty home cooked meal The owners a nice Turkish man and his lovely wife welcomed us The food was excellent ( especially the Turkish More"
"rn508697320","Istanbul Turkish Restaurant","Kata Beach","Fab food and the service is fantastic - the owners are super friendly and we were made to feel like one of the family "
"rn508080053","Istanbul Turkish Restaurant","Kata Beach","Authentic turkish food: pide soups aubergines are yammy Finally good choice for vegetarians in Thailand Good service and nice staff And turkish tea of course :)"
"rn506938827","Istanbul Turkish Restaurant","Kata Beach","Absolutely loved this place Super authentic and delicious not to mention they go out or their way to make you feel welcome with extras and a generally chill vibe Loved our meals (good for vegetarian too) Love "
"rn506074508","Istanbul Turkish Restaurant","Kata Beach","We ordered Istanbul platter for two It consists of two kinds of Turkish pizzas meatballs lambs chicken three dips and bowl of rice at 590 Baht They are all great Pizza bread is amazing All meats are good enough Lamb chop is a bit dry More"
"rn579810599","Burger House Kata Beach","Kata Beach","It's a small place The staff is very friendly The burgers (specially the Vega one) is absolutely amazing and from time to time a tasty variety to the local thai food It's a little pricey but definitely worth "
"rn579598272","Burger House Kata Beach","Kata Beach","We enjoyed a nice lunch at the Kata beach Burger House It was a great place for a burger and chips and a nice change from Thai food Very friendly service and the owner couldn’t have been more accommodating to us even providing us with More"
"rn578806758","Burger House Kata Beach","Kata Beach","Be ready to pay double for a full combo ( burger + fries + drink ) But also be ready for good service and good food The home made sauce is a must and the food was served FRESH and VERYYYY TASTY "
"rn575142546","Burger House Kata Beach","Kata Beach","Very good food and the owner was very nice and helpful We loved being there My daughter loved Sponge Bob all around :)"
"rn573153273","Burger House Kata Beach","Kata Beach","Fab food fab host and gorgeous homemade sauces Would definitely recommend eating here My partner loved the homemade sauces and the host/chef is rightly proud of them Love atmosphere and felt really welcome "
"rn572770266","Burger House Kata Beach","Kata Beach","I like the Thai lady serving us for lunch She was a bit shy with a sweet smile and spoke to us softly And the boss was polite For a quick lunch the hotdog I've ordered looked nice and was delicious Maybe I should try More"
"rn572763147","Burger House Kata Beach","Kata Beach","Best Burgers by far Patty was handmade and portion were big Do not that they sell beers/alcohol but it is kept in a separated refrigerator and it is a little bit pricey "
"rn570684132","Burger House Kata Beach","Kata Beach","Tried their burgers two times for lunch during our holiday they are very good The there of us all had beef burgers they have different kinds all the ones we tried were good Small place with good service so we can recommend "
"rn568824080","Burger House Kata Beach","Kata Beach","It's alright and tastes like home There are also super interesting and cheaper burgers done by locals in old phuket townMore"
"rn567661481","Burger House Kata Beach","Kata Beach","Great food and fair prices Big portions and very friendly owners I ve been here a few times and have always had a great meal Can’t recommend this place enough If you love burgers then this is the place for you "
"rn565864819","Burger House Kata Beach","Kata Beach","Indeed the best burgers in town A must try is the sweet burger and fries also try the jambalaya souce Thanks Boris for always serving so good burgers and for always keeping your smile to all your staff "
"rn565195829","Burger House Kata Beach","Kata Beach","My gosh Perfect shawarma(kebab) Best in da hood Not that tiny diner on a street Also u can find all kinds of burgers Will come back for sure <f0><U+009F><U+0087><U+00B9><f0><U+009F><U+0087><U+00AD> <U+041B><U+0443><U+0447><U+0448><U+0430><U+044F> <U+0448><U+0430><U+0443><U+0440><U+043C><U+0430> <U+043D><U+0430> <U+0437><U+0430><U+043F><U+0430><U+0434><U+043D><U+043E><U+043C> <U+043F><U+043E><U+0431><U+0435><U+0440><U+0435><U+0436><U+044C><U+0435> "
"rn565184535","Burger House Kata Beach","Kata Beach","We had chicken cheese burger for dinner - meat and veges were fresh and full-filling We love the sauces offered (they are free) - we tried their homemade sauce samurai something which was not bad at all :) Staff very friendly"
"rn564270019","Burger House Kata Beach","Kata Beach","Excellent meal Great time Manager and staff are pleasant to talk to you and the food is simply amazing "
"rn562634388","Burger House Kata Beach","Kata Beach","We have visited burger house multuple times this trip and multiple times on our previous trip to kata 3 years ago The texas fries are delicious Loaded with barbecue sauce spring onion cheese and fresh tomato The chicken shawarma wrap is also great and the More"
"rn561207496","Burger House Kata Beach","Kata Beach","there are lots of restuarants that serve burgers in Phuket but this is the only specialist burger house i found The owner Boris also took time to talk to me which gave it a personal touch every other restuarant i went to was me paying money More"
"rn559723400","Burger House Kata Beach","Kata Beach","We stopped by The Burger House while walking around Kata Beach The food was very very nice Myself and my stepson had cheeseburgers and my partner had a chicken shawarma wrap The burgers were obviously handmade and all our food was freshly cooked to order More"
"rn559342792","Burger House Kata Beach","Kata Beach","The burgers were really good and tasty (maybe a little bit small if you're really hungry) The owner and the waitress were REALLY nice polite and funny Really recommended "
"rn558941635","Burger House Kata Beach","Kata Beach","Lovely staff Great food Fresh Fish burger better than others I have tried My wife had chicken wrap also extremely good Great value for this part of town "
"rn555333765","Burger House Kata Beach","Kata Beach","I feel Thailand should be the easiest place to find food for picky kids Why my youngest daughter decided she hated rice and fried rice when we went to Thailand makes absolutely no sense I feel she is trying to win a battle and I More"
"rn554159295","Burger House Kata Beach","Kata Beach","Stopped by for lunch really good meaty burger and homemade dressing loved the big fremhever fries as well Really good service"
"rn552487666","Burger House Kata Beach","Kata Beach","The burgers here are really tasty one of the best of Thailand Owner and his wife are so kind Definitely visit "
"rn552120355","Burger House Kata Beach","Kata Beach","The staff is Very kind Boris speaks French English very well The bread is fresh and the meat very well baked I recommend this restaurant to anyone who want to eat in a clean place The vibe is so good In burger house I like More"
"rn551774871","Burger House Kata Beach","Kata Beach","We went to this burger house after a big hangover and must say that it was the best thing we could do The burgers are so sooo good The bread is baked here all the ingredients are fresh This is the best burger of Kata More"
"rn550503383","Burger House Kata Beach","Kata Beach","Amazing Burgers Boris runs a very cozy joint Had the double mushroom and fish burgers all where fantastic Each with its own unique dressing Really great for lunch after a long day at the beach "
"rn547286681","Burger House Kata Beach","Kata Beach","We go there two times for Lunch and it was delicious The Ban's were Soft and the Paddy's good grilled The two from the Owner recommended Homemade Chilisauce are very yamyam "
"rn546927329","Burger House Kata Beach","Kata Beach","Nice and friendly staff Small restorant but designed in a fun fashion We ate cheeseburger not the best but it was good French fries were fresh and crispy We loved source samourai hot sweet dipping for fries "
"rn546644135","Burger House Kata Beach","Kata Beach","Really really great burger We visited kata beach for one day(our hotel is in patong) and just looked at nearby restaurants and found this gem The french owner made us feel extremely welcome and the price for two people was 840 baht for two double More"
"rn545322644","Burger House Kata Beach","Kata Beach","I had my second burger in two days Homemade buns and burger fried onion Fresh sallad and yummie garlic dressing And cheddar cheese i say no Moore Oh My budda this was heaven for My stomach And made My day twice <f0><U+009F><U+0098><U+0080> Cant Wait to More"
"rn538022890","Burger House Kata Beach","Kata Beach","I went here twice and will go again Lovely staff and great food Sehr gutes essen Ich bin sehr wählerisch was essen in Thailand angeht und bin hier sehr zufrieden gewesen "
"rn534354723","Burger House Kata Beach","Kata Beach","I am a self proclaimed vegegan (vegetarian who is part time vegan) This place is the bomb com if they made a burger full of world peace and equality I think this would be it There wasn't mushroom in my belly after I destroyed the vegetarian More"
"rn533297322","Burger House Kata Beach","Kata Beach","I’m so sad that we only discovered this place the day before our trip had to end The owners were very friendly and accommodating when we arrived and to top it all off the food was absolutely amazing that we had to get our fix More"
"rn532478338","Burger House Kata Beach","Kata Beach","Good fries but the burger had totally no taste It could be good but without barbeque spice it can never be a burger (no matter what) "
"rn532354658","Burger House Kata Beach","Kata Beach","Tired of the 400-600 baht burgers Come checkout this little burger joint They use quality ingredients and burgers start at 185baht fries were very good too sold separately or as a drink fries combo Friendly owner working long hours to make it happen He's got More"
"rn532000608","Burger House Kata Beach","Kata Beach","I ordered the cheese burger in combo with the beer and the chips taste was absolutely delicious chips were big enough Beer was good but need to be a little bit more colder "
"rn521714505","Burger House Kata Beach","Kata Beach","Our first stop after checkin in at the hotel was at burger house to have our lunch Its halal The cafe was a bit small but dont judge The foods were at affordable price and very filling We had our lunch twice at this cafe More"
"rn509858355","Burger House Kata Beach","Kata Beach","Stumble across this place on our evening walk I order the cheese burger which l realty enjoyed My husband had the chicken burger We also ordered fries Food was good staff attentive Would recommend"
"rn498498064","Burger House Kata Beach","Kata Beach","Had tasty basic burger here on a hot day -Really good service the food is great and the music is great-Nice people "
"rn497390817","Burger House Kata Beach","Kata Beach","Had a cheeseburger meal and a chicken wrap Nothing special about these Tasted like every other grill More"
"rn490108735","Burger House Kata Beach","Kata Beach","Had to try a wrap was one of the most tastiest wraps I've had in Thailand plenty of meat inside which is rear would recommend you try the wife had a burger and she said very good which for a Thai to say is very More"
"rn489856998","Burger House Kata Beach","Kata Beach","We were a bit tired of local food and craving a burger Called them about 20 min before closing time and they waited for us; the cheese burger and the mushrooms one are very good choices They sell beer Recommended "
"rn478782355","Burger House Kata Beach","Kata Beach","Meal was absolutely Delish I ordered beef by mistake and the friendly owner changed it to chicken without charge I was sold :D"
"rn476417522","Burger House Kata Beach","Kata Beach","Tried take out burgers from this Burger restaurant Was pleasantly surprised at the quality and taste Probably one of the best burgers I have eaten in Thailand Great when you have a craving for a good old fashioned Burger Great fries and onion rings"
"rn476288699","Burger House Kata Beach","Kata Beach","The best burger you can get in Phuket the shop is small but the meals are so delicious Definitely will visit again "
"rn470997237","Burger House Kata Beach","Kata Beach","My husband and I visited once we landed in Phuket as this was right outside of our hotel The food was fresh and so tasty A proper burger fast food but so fresh "
"rn469520189","Burger House Kata Beach","Kata Beach","Don't miss this place if you are craving for a good burger very good potatoes wedges stumbled to this place on the way back to the beach and fully satisfied good value for money desserves a better ranking on tripadvisor "
"rn468664311","Burger House Kata Beach","Kata Beach","The burgers are good not like the up and comming places back home (getta burger chur burger etc) but they are good It was a little pricey by the time we had a couple of beers and burgers/chips Friendly staff fresh food can't really complain More"
"rn468532615","Burger House Kata Beach","Kata Beach","Popped for a late snack and this hit the spot Good tasty burgers and great fries all cooked fresh Service is quick and friendly and beers are cold Lots of choices we will be back "
"rn463382502","Burger House Kata Beach","Kata Beach","Exellent burgers Nice affordable place with a great vibe Cannot wait to have a bite here again next week"
